created_at,user_id_str,username,name,fast_followers_count,favourites_count,followers_count,following_count,listed_count,media_count,normal_followers_count,statuses_count,url,location,image_url,account_url
Mon Sep 10 12:33:10 +0000 2018,1039129654148227076,fizelrocks,★,0,17040,497,361,1,1303,497,21084,-,He/them,https://pbs.twimg.com/profile_images/1974447533356392448/AGLKqFmO_normal.jpg,https://x.com/fizelrocks
Mon Sep 10 16:45:54 +0000 2018,1039193255907225600,agoodbiscuits,Aku Orang,0,52283,85,312,1,704,85,10503,https://t.co/apDMcu9cWp,-,https://pbs.twimg.com/profile_images/1881546492454039552/vQxHZn3V_normal.jpg,https://x.com/agoodbiscuits
Tue Sep 11 00:26:54 +0000 2018,1039309273019236353,MomoChanGaming_,MoMoChan🍑ももちゃん,0,16451,1171,778,3,1008,1171,7293,https://t.co/cWxa1JqqlU,🪐,https://pbs.twimg.com/profile_images/1991925028414455808/QZ5IxHQ5_normal.jpg,https://x.com/MomoChanGaming_
Tue Sep 11 09:00:37 +0000 2018,1039438550633086976,cahyakitt,yaa ^*,0,16234,45,262,1,374,45,5267,-,-,https://pbs.twimg.com/profile_images/1720516562741002240/ygWCs4pE_normal.jpg,https://x.com/cahyakitt
Tue Sep 11 12:09:20 +0000 2018,1039486045618724865,pyralis27,kiyo.,0,198628,1100,1058,5,8344,1100,123802,-,UGC 1810/UGC 1813 ,https://pbs.twimg.com/profile_images/1962800812452913153/gEJWaGQ4_normal.jpg,https://x.com/pyralis27
Wed Sep 12 12:13:18 +0000 2018,1039849431384842240,Bim2Sak,Bimbim Sakso #bobotoh,0,6063,28,94,0,132,28,8691,-,"Garut, Jawa Barat",https://pbs.twimg.com/profile_images/1921738865523486720/aVVjVqwO_normal.jpg,https://x.com/Bim2Sak
Thu Sep 13 13:34:13 +0000 2018,1040232182629842949,RelaLest,Rela Lest@ri'G,0,1218,159,201,0,440,159,4894,-,-,https://pbs.twimg.com/profile_images/1103302517914427392/KLUSAsIN_normal.jpg,https://x.com/RelaLest
Thu Sep 13 18:31:22 +0000 2018,1040306964100669440,NenkMonica,𝕸𝖔𝖓𝖎𝖈𝖆 ᴼᶠᶠⁱᶜⁱᵃˡ,0,72506,102862,19008,37,12269,102862,42332,-,"Bandung, Indonesia",https://pbs.twimg.com/profile_images/1990643859412692994/hsck1Lc1_normal.jpg,https://x.com/NenkMonica
Fri Sep 14 00:20:06 +0000 2018,1040394725121900544,Hanifwildanwin,Hanifwildanwindriyo,0,20383,33,310,1,24,33,6026,-,-,https://pbs.twimg.com/profile_images/1043445119012106240/S1qwK4p8_normal.jpg,https://x.com/Hanifwildanwin
Sat Sep 15 12:32:01 +0000 2018,1040941302790025216,mohdlazhar,SAYANG NU,0,23546,141,524,1,1055,141,17104,-,-,https://pbs.twimg.com/profile_images/1962798102278246401/oGYZ6RtQ_normal.jpg,https://x.com/mohdlazhar
